model,path,source_repository,model_type,schema,file_size_mb,parse_status,parse_error,validation_service_status,license_status,IfcProject,IfcSite,IfcBuilding,IfcBuildingStorey,IfcSpace,IfcWall,IfcDoor,IfcWindow,IfcSlab,IfcBeam,IfcColumn,IfcStair,IfcRailing,IfcDistributionElement,IfcBuildingElement,has_ifcsite,has_ifcbuilding,has_ifcspace,door_count,wall_count,site_count,completeness_tier
pass-typecast-checking-may-also-occur-within-enumeration-2b0c93ea,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/pass-typecast_checking_may_also_occur_within_enumeration_restrictions.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,test-fragment
pass-value-restrictions-may-be-used-1-3-087454cf,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/pass-value_restrictions_may_be_used_1_3.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,False,0,1,0,test-fragment
pass-value-restrictions-may-be-used-2-3-4ddb5ded,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/pass-value_restrictions_may_be_used_2_3.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,False,0,1,0,test-fragment
fail-a-classification-facet-with-no-data-matches-any-cla-50cb3825,IDS-development/Documentation/ImplementersDocumentation/TestCases/classification/fail-a_classification_facet_with_no_data_matches_any_classification_1_2.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.001,ok,,not_tested,inspect_only_raw_not_redistributed,1,0,0,0,0,1,0,0,1,1,1,0,0,0,4,False,False,False,0,1,0,test-fragment
fail-a-prohibited-classification-reference-returns-the-o-313474f3,IDS-development/Documentation/ImplementersDocumentation/TestCases/classification/fail-a_prohibited_classification_reference_returns_the_opposite_of_a_required_facet.ifc,buildingSMART IDS repository,ids-validator-testcase,,,failed,Path does not exist: '<project>\data_raw\IDS-development\Documentation\ImplementersDocumentation\TestCases\classification\fail-a_prohibited_classification_reference_returns_the_opposite_of_a_required_facet.ifc'.,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,parse-failed
fail-a-prohibited-facet-returns-the-opposite-of-a-requir-bb95a2f3,IDS-development/Documentation/ImplementersDocumentation/TestCases/classification/fail-a_prohibited_facet_returns_the_opposite_of_a_required_facet.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.001,ok,,not_tested,inspect_only_raw_not_redistributed,1,0,0,0,0,1,0,0,1,1,1,0,0,0,4,False,False,False,0,1,0,test-fragment
fail-a-required-classification-system-fails-if-no-match-2a15ab64,IDS-development/Documentation/ImplementersDocumentation/TestCases/classification/fail-a_required_classification_system_fails_if_no_match.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.001,ok,,not_tested,inspect_only_raw_not_redistributed,1,0,0,0,0,1,0,0,1,1,1,0,0,0,4,False,False,False,0,1,0,test-fragment
fail-an-optional-classification-value-fails-if-no-match-d53ce3e0,IDS-development/Documentation/ImplementersDocumentation/TestCases/classification/fail-an_optional_classification_value_fails_if_no_match.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,False,0,1,0,test-fragment
fail-both-system-and-value-must-match-all-not-any-if-spe-853dac37,IDS-development/Documentation/ImplementersDocumentation/TestCases/classification/fail-both_system_and_value_must_match__all__not_any__if_specified_2_2.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.001,ok,,not_tested,inspect_only_raw_not_redistributed,1,0,0,0,0,1,0,0,1,1,1,0,0,0,4,False,False,False,0,1,0,test-fragment
fail-occurrences-override-the-type-classification-per-sy-1611b298,IDS-development/Documentation/ImplementersDocumentation/TestCases/classification/fail-occurrences_override_the_type_classification_per_system_2_3.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.001,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,False,0,1,0,test-fragment
fail-restrictions-can-be-used-for-systems-1-2-ca553fc7,IDS-development/Documentation/ImplementersDocumentation/TestCases/classification/fail-restrictions_can_be_used_for_systems_1_2.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.001,ok,,not_tested,inspect_only_raw_not_redistributed,1,0,0,0,0,1,0,0,1,1,1,0,0,0,4,False,False,False,0,1,0,test-fragment
