model,source_repository,model_type,completeness_tier,schema,rule_id,target_count,direct_reference_pass_count,direct_reference_pass_rate
fail-ids-does-not-handle-string-truncation-such-as-for-i-4ec67d0f,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R06_DOOR_CLEAR_WIDTH,0,0,
fail-ids-does-not-handle-string-truncation-such-as-for-i-4ec67d0f,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R07_WINDOW_DIMENSIONS,0,0,
fail-ids-does-not-handle-string-truncation-such-as-for-i-4ec67d0f,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R08_SPACE_AREA,0,0,
fail-ids-does-not-handle-string-truncation-such-as-for-i-4ec67d0f,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R09_FIRE_RATING,0,0,
fail-ids-does-not-handle-string-truncation-such-as-for-i-4ec67d0f,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R10_SITE_GEOREFERENCE,0,0,
fail-numeric-values-are-checked-using-type-casting-4-4-404a61ab,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R01_GLOBAL_ID,0,0,
fail-numeric-values-are-checked-using-type-casting-4-4-404a61ab,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R02_OBJECT_NAME,0,0,
fail-numeric-values-are-checked-using-type-casting-4-4-404a61ab,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R03_TYPE_OR_OBJECTTYPE,0,0,
fail-numeric-values-are-checked-using-type-casting-4-4-404a61ab,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R04_SPATIAL_CONTAINMENT,0,0,
fail-numeric-values-are-checked-using-type-casting-4-4-404a61ab,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R05_MATERIAL_AVAILABLE,0,0,
fail-numeric-values-are-checked-using-type-casting-4-4-404a61ab,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R06_DOOR_CLEAR_WIDTH,0,0,
